Group,Final_Clustering_Score,Delta_Score
Active (Stigmergic),0.5297927461139896,0.21761658031088082
Active (Stigmergic),0.5217948717948718,0.21923076923076928
Active (Stigmergic),0.524966261808367,0.25236167341430493
Active (Stigmergic),0.5045632333767927,0.20143415906127765
Active (Stigmergic),0.5020352781546812,0.21981004070556315
Active (Stigmergic),0.5175202156334232,0.23247978436657685
Active (Stigmergic),0.5109536082474226,0.19329896907216493
Active (Stigmergic),0.5267737617135207,0.23493975903614456
Active (Stigmergic),0.5013568521031208,0.203527815468114
Active (Stigmergic),0.4817567567567568,0.18783783783783786
Active (Stigmergic),0.4953519256308101,0.19853917662682602
Active (Stigmergic),0.4903314917127072,0.18715469613259667
Active (Stigmergic),0.5299727520435967,0.2254768392370572
Active (Stigmergic),0.5064469914040115,0.22994269340974216
Active (Stigmergic),0.5263157894736842,0.23618421052631577
Active (Stigmergic),0.4844804318488529,0.1882591093117409
Active (Stigmergic),0.5285343709468223,0.2256809338521401
Active (Stigmergic),0.5090439276485789,0.18798449612403106
Active (Stigmergic),0.5040214477211796,0.1977211796246649
Active (Stigmergic),0.5107816711590296,0.21495956873315358
Active (Stigmergic),0.5143051771117166,0.20435967302452318
Active (Stigmergic),0.4882758620689655,0.2
Active (Stigmergic),0.4838935574229692,0.20658263305322128
Active (Stigmergic),0.5,0.22534246575342465
Active (Stigmergic),0.5082802547770701,0.18980891719745224
Active (Stigmergic),0.5303030303030303,0.21805006587615283
Active (Stigmergic),0.5313725490196078,0.2196078431372549
Active (Stigmergic),0.5095238095238095,0.22244897959183668
Active (Stigmergic),0.5315258511979823,0.2030264817150063
Active (Stigmergic),0.5116918844566712,0.233837689133425
Active (Stigmergic),0.5131761442441054,0.2142857142857143
Active (Stigmergic),0.5253576072821846,0.19635890767230163
Active (Stigmergic),0.5300261096605744,0.22911227154046998
Active (Stigmergic),0.5294117647058824,0.19975490196078433
Active (Stigmergic),0.5152925531914894,0.21210106382978722
Active (Stigmergic),0.519281914893617,0.22539893617021273
Active (Stigmergic),0.509325681492109,0.21377331420373025
Active (Stigmergic),0.5279503105590062,0.22111801242236023
Active (Stigmergic),0.5116438356164383,0.2280821917808219
Active (Stigmergic),0.5077519379844961,0.1873385012919897
Active (Stigmergic),0.5007163323782235,0.2120343839541548
Active (Stigmergic),0.501984126984127,0.18386243386243384
Active (Stigmergic),0.512402088772846,0.21279373368146215
Active (Stigmergic),0.5418918918918919,0.24324324324324326
Active (Stigmergic),0.5064683053040103,0.1843467011642949
Active (Stigmergic),0.5178571428571429,0.22089947089947093
Active (Stigmergic),0.5357142857142857,0.239010989010989
Active (Stigmergic),0.5006784260515604,0.21913161465400277
Active (Stigmergic),0.5399484536082474,0.23131443298969068
Active (Stigmergic),0.5079893475366178,0.20639147802929425
Active (Stigmergic),0.5,0.21368715083798884
Active (Stigmergic),0.5197628458498024,0.2259552042160738
Active (Stigmergic),0.5072751322751323,0.19708994708994715
Active (Stigmergic),0.5054945054945055,0.22527472527472525
Active (Stigmergic),0.5019736842105263,0.20394736842105265
Active (Stigmergic),0.4951790633608815,0.20730027548209362
Active (Stigmergic),0.5046916890080428,0.19034852546916886
Active (Stigmergic),0.5149253731343284,0.21981004070556315
Active (Stigmergic),0.5106100795755968,0.20358090185676392
Active (Stigmergic),0.5046791443850267,0.19986631016042777
Active (Stigmergic),0.5215343203230148,0.2415881561238224
Active (Stigmergic),0.48322147651006714,0.18523489932885906
Active (Stigmergic),0.5182529335071708,0.19947848761408088
Active (Stigmergic),0.5006811989100818,0.22479564032697552
Active (Stigmergic),0.4993016759776536,0.21997206703910616
Active (Stigmergic),0.5089903181189488,0.21369294605809125
Active (Stigmergic),0.507313829787234,0.19946808510638298
Active (Stigmergic),0.5026075619295959,0.19947848761408088
Active (Stigmergic),0.5213333333333333,0.24066666666666664
Active (Stigmergic),0.5013642564802183,0.21691678035470674
Active (Stigmergic),0.5081453634085213,0.20050125313283212
