Trial,Step_500,Step_1000,Step_1500,Step_2000,Step_2500,Step_3000,Step_3500,Step_4000,Step_4500,Step_5000,Step_5500,Step_6000,Step_6500,Step_7000,Step_7500,Step_8000,Step_8500,Step_9000,Step_9500,Step_10000
31,15.82532124879832,25.33962838680459,-20.61448385719528,0.6522039523048975,-34.09163552262625,15.173572121478927,55.43068838567723,100.9142398990522,87.59909107264947,60.97103036258953,34.29428581586154,-3.404841555848492,102.74505097417351,4.62393849352942,-9.787380374633079,25.102021065066914,21.9316400766261,84.89480586584901,69.1144405105996,66.70625589331813
32,57.414953349618266,124.91834698515228,116.78750451930256,69.9801291599339,102.0101873229643,90.86826264698827,52.543945272439935,41.68353768693098,98.48049048756444,120.66915305506475,61.3206219143295,103.93474407158905,83.27757767865674,52.938967942918595,86.68328762420035,54.32493011953238,43.31605485543788,8.617085937451726,62.66854946887633,48.31702935571826
33,18.568692913774328,49.741041621755095,-1.1180173743611619,9.416508310043271,10.814100001938503,26.955331301891864,18.934671804380343,57.33422282913006,33.86280779629357,66.35598622047914,80.6868341115484,31.222949924252013,33.76721728630825,61.59367492487968,20.228985345296923,48.27961926719386,-0.7130419638587113,67.66711603472436,34.667075943659036,13.29153032028472
34,34.8089746570807,21.989548762185326,-31.06972102210677,7.519418815552946,-27.85046871604672,4.5690999427291645,6.588144051751064,6.8952475523674766,52.55021277491699,3.480064913375456,8.217741960296705,-20.250169039465597,45.121444349523124,44.47182329396135,22.12255753376065,2.8988683936194435,55.258980212183175,-12.322351671266741,16.04734705185499,-10.934108808144618
35,76.34386235362729,24.358805990274895,81.19077367107603,32.53350894587237,61.372985209379586,32.00949156460299,68.88712109226479,149.61116316308932,78.6456602088406,49.899257121122304,71.69668290213588,95.9473249186399,51.39234499549394,21.602143642723156,-3.871130239443366,28.65080320599917,43.14483526089304,77.09268815120501,127.18509318776859,67.4693521787374
36,6.369967965661462,2.378315792369907,-0.37041949190444967,-30.650622804205035,-57.20183555345756,-21.511902478639268,-56.16713928215902,1.9266965815974515,-10.642443762328611,-9.208574014973193,24.566633383201818,-9.853576817535949,-25.62225146670524,-55.51571511257293,-61.79020857795397,-60.264224277331245,-116.91372447410566,-104.62599596748423,-88.91227893551844,-63.75648009744332
37,-6.033308292523376,3.468128093647053,-37.25800712946448,18.64946750449051,31.40981836196068,32.82137244969428,-12.008725344220966,-56.82867419494142,-5.0165887383738745,-29.80211691816098,20.113318701236093,18.054297442019802,-5.681814474782439,37.807759799655976,31.038660677522493,66.75084788228018,50.56635222194994,-21.204692057079143,-12.021037085498707,-41.9113788489634
38,-4.403152868720698,-28.65161603356835,-37.36801081512184,-19.508749854421787,1.0203304954168544,-4.572589297450239,-33.39593898785361,2.359209049681522,-3.5933805661249822,2.2757106288432,-21.064411805795846,85.78826338274567,61.66587221611825,15.009394700953365,41.49756157830628,-0.9810439105542883,-5.856299585445798,8.920527107474202,39.05613964826776,4.309356425550163
39,47.33815137823435,83.7255207793369,58.021701113203086,50.893030805953984,69.71358179199028,71.23359292133058,21.351124011444664,-15.958553642318467,47.34304187988068,27.192946975305365,42.60186632006533,27.87917505815576,45.50579403035013,18.806093259610957,59.99808213488912,52.00991387968521,74.28334030230164,86.45483658481031,32.10679288153928,60.46602133577617
40,-25.368435585513254,21.033207234004507,24.655378272499245,44.09631144961885,14.772536866575889,-11.20416993431254,-18.497907479037735,72.88299385328068,61.816552592866614,-24.482228323642452,-80.56257674395849,-29.71886055907086,21.296622550568998,-9.298484039273552,-7.805573368104705,-36.97312100476305,-64.61855161278238,-44.66716400021515,-36.669630606392715,1.9548135713153911
41,-4.795049937594627,103.97539744106193,100.06938893667648,105.60929148932608,77.24331419316911,79.7014706738089,60.511737269174596,56.39801983028601,33.11289404680563,66.72812297628394,76.58735464542366,84.97290849010811,48.7787076793859,59.49683360979947,46.38711517057769,91.22803675467814,84.98777095765121,74.52550314878386,57.11478173832387,82.0646793853506
42,-1.3448656498042921,35.63897462080657,57.622413173867,62.56922925244183,94.12195421811717,50.42958203956621,35.730516081615505,63.541574410573375,11.350852824986173,72.61107956185853,87.1473246837544,71.43787175362569,49.750367227797,52.48672524280749,40.88861136395259,78.23219569188716,-0.1336311316598639,90.1533976497126,72.01946722008711,79.82363764373954
